text,count,mean_combined_score,std_combined_score,max_combined_score,mean_comp_deviation,mean_norm_shift,n_tokens
Famille,1,1.1800467148842695,0.0,1.1800467148842695,0.2998046875,2.2728706934606735,1
fredini (Cremona,1,1.179606189371369,0.0,1.179606189371369,0.38818359375,2.148173188272172,2
brownish terminally.,1,1.1794768957474888,0.0,1.1794768957474888,0.6005859375,1.943931497181222,2
Institut national de la statistique,1,1.1793330375652442,0.0,1.1793330375652442,0.2705078125,2.3927906017256104,5
-knit tapestries,1,1.1783273297764867,0.0,1.1783273297764867,0.554443359375,2.028337855691216,2
slender wing  long.,1,1.177315299015545,0.0,1.177315299015545,0.4306640625,2.1407980131638626,3
ridevi's mother,1,1.1754312874842816,0.0,1.1754312874842816,0.32275390625,2.257914156210704,2
vi's father,1,1.1743617459227973,0.0,1.1743617459227973,0.314453125,2.227103095275743,2
national team. On May,1,1.1734871337668809,0.0,1.1734871337668809,0.658447265625,1.8444234008234521,4
. After the resumption,1,1.1723939577487987,0.0,1.1723939577487987,0.2939453125,2.2359165349969965,4
", the Anti-Corruption",1,1.1703756771518066,0.0,1.1703756771518066,0.3359375,2.2012077475670164,3
30- Cremona,1,1.1698108465100325,0.0,1.1698108465100325,0.34130859375,2.1683625654938314,2
Shahana Goswami,1,1.168468194415838,0.0,1.168468194415838,0.5068359375,2.011258376664595,2
and a revision in,1,1.1677269939485948,0.0,1.1677269939485948,0.534423828125,2.016241312996487,4
2013.,1,1.1665140497493625,0.0,1.1665140497493625,0.43212890625,2.038172331404656,1
smear,1,1.1634914226982027,0.0,1.1634914226982027,0.25634765625,2.436072306745507,1
", which took place on",1,1.163094666238106,0.0,1.163094666238106,0.3955078125,2.1169651812202646,5
ett and Paul Alexander.,1,1.1621764719743655,0.0,1.1621764719743655,0.587890625,1.8981169611859137,4
Borsod comitatus,1,1.1608199587513324,0.0,1.1608199587513324,0.48193359375,2.1270254828158306,2
Only twelve of these pedals,1,1.160013966255392,0.0,1.160013966255392,0.32666015625,2.2650251500134804,5
which opened in 19,1,1.1597378699132035,0.0,1.1597378699132035,0.555419921875,1.9387123505642587,4
paragliding,1,1.1583101504300375,0.0,1.1583101504300375,0.43994140625,2.1317372901375937,1
system) and Ab.,1,1.1576696422383255,0.0,1.1576696422383255,0.48779296875,2.0115447110645635,3
Electron Positron,1,1.1575582981610024,0.0,1.1575582981610024,0.33349609375,2.328954339152506,2
Mollie Jenson’,1,1.1574695545282638,0.0,1.1574695545282638,0.48291015625,2.0499238863206597,2
Spitfires,1,1.1559788324187688,0.0,1.1559788324187688,0.4775390625,2.1111384872969214,1
edium species are deciduous,1,1.1554113617130624,0.0,1.1554113617130624,0.25244140625,2.273660240220156,4
episodes on Sundays at,1,1.1551794609694568,0.0,1.1551794609694568,0.45703125,2.0299164258611415,4
in department in eastern France.,1,1.1545527546654397,0.0,1.1545527546654397,0.3779296875,2.086577199163599,5
"elago, Eastern Brasil.",1,1.1534417930030174,0.0,1.1534417930030174,0.30224609375,2.1336350000856683,3
and the CFL Line,1,1.1530791326910188,0.0,1.1530791326910188,0.400390625,2.1409986129775467,4
AMG,1,1.1512651293081007,0.0,1.1512651293081007,0.26171875,2.282825909207751,1
entitlement,1,1.1507818270472152,0.0,1.1507818270472152,0.3662109375,2.1987319113680384,1
934 in neighboring,1,1.1506382103933477,0.0,1.1506382103933477,0.22509765625,2.2802820494208693,3
"Pradesh state, India.",1,1.149812541758705,0.0,1.149812541758705,0.27783203125,2.2347608465842628,3
-Corruption,1,1.1485891873736829,0.0,1.1485891873736829,0.39599609375,2.2533089059342073,1
Ungarn,2,1.1484895381414773,0.05336325026773692,1.201852788409214,0.31884765625,2.2459797047286925,1
plays the character Rico Rodrigue,1,1.1476037338030018,0.0,1.1476037338030018,0.4990234375,2.018667537632504,5
ålerenga beat,1,1.1462750736322607,0.0,1.1462750736322607,0.4375,2.0870011606431516,2
leave the starting block.,1,1.1461193078654635,0.0,1.1461193078654635,0.573486328125,1.8125028595074089,4
